query_idx,bfs_distance_mrr,local_degree_mrr,local_pagerank_mrr,ctqw_mrr
0,1.0000,1.0000,1.0000,1.0000
1,1.0000,1.0000,1.0000,1.0000
2,1.0000,1.0000,1.0000,1.0000
3,1.0000,1.0000,1.0000,1.0000
4,1.0000,1.0000,1.0000,1.0000
5,1.0000,0.5000,1.0000,1.0000
6,1.0000,1.0000,1.0000,1.0000
7,1.0000,1.0000,1.0000,1.0000
8,1.0000,1.0000,1.0000,1.0000
9,1.0000,0.5000,1.0000,1.0000
10,1.0000,1.0000,1.0000,1.0000
11,1.0000,1.0000,1.0000,1.0000
12,1.0000,0.1000,1.0000,1.0000
13,1.0000,0.5000,1.0000,1.0000
14,1.0000,0.5000,1.0000,1.0000
15,1.0000,0.5000,0.5000,0.5000
16,1.0000,1.0000,1.0000,1.0000
17,1.0000,0.5000,0.5000,1.0000
18,1.0000,0.2500,0.5000,1.0000
19,1.0000,0.3333,1.0000,1.0000
