seed,mrr_ta_sdm,recall5_ta_sdm,mrr_content,recall5_content
0,0.8969,0.6785,0.2225,0.0810
1,0.8903,0.6810,0.2096,0.1045
2,0.9120,0.7175,0.1635,0.0800
3,0.9090,0.6620,0.2693,0.1158
4,0.8623,0.6341,0.2121,0.1079
5,0.8653,0.6467,0.1825,0.0867
6,0.9606,0.6987,0.2307,0.0967
7,0.9303,0.7048,0.1908,0.1229
8,0.8831,0.6730,0.1523,0.0670
9,0.8900,0.7286,0.1210,0.0536
10,0.8452,0.6535,0.2530,0.1200
11,0.9150,0.7305,0.1710,0.0859
12,0.9135,0.6370,0.2126,0.1042
13,0.8578,0.6639,0.1392,0.0493
14,0.9140,0.6928,0.1523,0.0557
15,0.9340,0.6849,0.2284,0.0899
16,0.9125,0.7144,0.2679,0.1039
17,0.9667,0.7149,0.1774,0.0664
18,0.8919,0.6753,0.1929,0.1079
19,0.8434,0.6322,0.1341,0.0522
20,0.9133,0.7153,0.2812,0.0957
21,0.9133,0.7107,0.2138,0.0994
22,0.7979,0.5989,0.1868,0.0657
23,0.8983,0.6690,0.1864,0.0562
24,0.9173,0.7251,0.2326,0.0710
25,0.9500,0.7453,0.2129,0.0799
26,0.9100,0.6958,0.1939,0.0588
27,0.9350,0.6906,0.1896,0.0725
28,0.8883,0.6777,0.2078,0.0768
29,0.8736,0.6637,0.1411,0.0526
