seed,neural_mrr,ta_sdm_mrr,content_mrr,neural_r5,ta_sdm_r5,content_r5
0,0.3372,0.8969,0.2225,0.1811,0.6785,0.0810
1,0.2649,0.8903,0.2096,0.1259,0.6810,0.1045
2,0.3812,0.9120,0.1635,0.2210,0.7175,0.0800
3,0.4231,0.9090,0.2693,0.2369,0.6620,0.1158
4,0.3300,0.8623,0.2121,0.1754,0.6341,0.1079
5,0.3580,0.8653,0.1825,0.1839,0.6467,0.0867
6,0.4062,0.9606,0.2307,0.2530,0.6987,0.0967
7,0.3343,0.9303,0.1908,0.1591,0.7048,0.1229
8,0.3358,0.8831,0.1523,0.1675,0.6730,0.0670
9,0.2678,0.8900,0.1210,0.1377,0.7286,0.0536
